locs,techs,timesteps,storage
SARD,PHS_PP_ex,2019-04-02 20:00:00,8.925405969320003
SARD,PHS_PP_ex,2019-04-02 21:00:00,9.108907652100003
SARD,PHS_PP_ex,2019-04-02 22:00:00,9.292409334880002
SARD,PHS_PP_ex,2019-04-02 23:00:00,9.475911017660001
SARD,PHS_PP_ex,2019-04-03 00:00:00,9.65941270044
SARD,PHS_PP_ex,2019-04-03 01:00:00,9.84813064279
SARD,PHS_PP_ex,2019-04-03 02:00:00,10.03684858514
SARD,PHS_PP_ex,2019-04-03 03:00:00,10.225566527489999
SARD,PHS_PP_ex,2019-04-03 04:00:00,10.414284469839998
SARD,PHS_PP_ex,2019-04-03 05:00:00,10.603002412189998
SARD,PHS_PP_ex,2019-04-03 06:00:00,10.791779103469997
SARD,PHS_PP_ex,2019-04-03 07:00:00,10.977760555229997
SARD,PHS_PP_ex,2019-04-03 08:00:00,11.163742006989997
SARD,PHS_PP_ex,2019-04-03 09:00:00,11.349723458749997
SARD,PHS_PP_ex,2019-04-03 10:00:00,11.535704910509997
SARD,PHS_PP_ex,2019-04-03 11:00:00,11.721686362269997
SARD,PHS_PP_ex,2019-04-03 12:00:00,11.908409569594998
SARD,PHS_PP_ex,2019-04-03 13:00:00,12.091911252374997
SARD,PHS_PP_ex,2019-04-03 14:00:00,12.283060517649997
SARD,PHS_PP_ex,2019-04-03 15:00:00,12.463015689234997
SARD,PHS_PP_ex,2019-04-03 16:00:00,12.648987426129997
SARD,PHS_PP_ex,2019-04-03 17:00:00,12.834959163024998
SARD,PHS_PP_ex,2019-04-03 18:00:00,0.0
SARD,PHS_PP_ex,2019-04-03 19:00:00,0.0
SARD,PHS_PP_ex,2019-04-03 20:00:00,0.0
SARD,PHS_PP_ex,2019-04-03 21:00:00,0.183492248585
SARD,PHS_PP_ex,2019-04-03 22:00:00,0.432283620445
SARD,PHS_PP_ex,2019-04-03 23:00:00,0.0
SICI,PHS_PP_ex,2019-04-01 00:00:00,0.22003030289
SICI,PHS_PP_ex,2019-04-01 01:00:00,0.43967877647
SICI,PHS_PP_ex,2019-04-01 02:00:00,0.65932725005
SICI,PHS_PP_ex,2019-04-01 03:00:00,0.87895504549
SICI,PHS_PP_ex,2019-04-01 04:00:00,1.09858284093
SICI,PHS_PP_ex,2019-04-01 05:00:00,1.31821063637
SICI,PHS_PP_ex,2019-04-01 06:00:00,1.5375676087549999
SICI,PHS_PP_ex,2019-04-01 07:00:00,1.756897225975
SICI,PHS_PP_ex,2019-04-01 08:00:00,1.976226843195
SICI,PHS_PP_ex,2019-04-01 09:00:00,2.19558381558
SICI,PHS_PP_ex,2019-04-01 10:00:00,2.4149134328
SICI,PHS_PP_ex,2019-04-01 11:00:00,2.63456190638
SICI,PHS_PP_ex,2019-04-01 12:00:00,2.8538365199
