locs,techs,timesteps,resource
CNOR,PV_PP_ex,2019-04-01 19:00:00,0.0
CNOR,PV_PP_ex,2019-04-01 20:00:00,0.0
CNOR,PV_PP_ex,2019-04-01 21:00:00,0.0
CNOR,PV_PP_ex,2019-04-01 22:00:00,0.0
CNOR,PV_PP_ex,2019-04-01 23:00:00,0.0
CNOR,PV_PP_ex,2019-04-02 00:00:00,0.0
CNOR,PV_PP_ex,2019-04-02 01:00:00,0.0
CNOR,PV_PP_ex,2019-04-02 02:00:00,0.0
CNOR,PV_PP_ex,2019-04-02 03:00:00,0.0
CNOR,PV_PP_ex,2019-04-02 04:00:00,0.0
CNOR,PV_PP_ex,2019-04-02 05:00:00,0.0
CNOR,PV_PP_ex,2019-04-02 06:00:00,0.023
CNOR,PV_PP_ex,2019-04-02 07:00:00,0.098
CNOR,PV_PP_ex,2019-04-02 08:00:00,0.186
CNOR,PV_PP_ex,2019-04-02 09:00:00,0.263
CNOR,PV_PP_ex,2019-04-02 10:00:00,0.31
CNOR,PV_PP_ex,2019-04-02 11:00:00,0.35
CNOR,PV_PP_ex,2019-04-02 12:00:00,0.351
CNOR,PV_PP_ex,2019-04-02 13:00:00,0.296
CNOR,PV_PP_ex,2019-04-02 14:00:00,0.227
CNOR,PV_PP_ex,2019-04-02 15:00:00,0.16
CNOR,PV_PP_ex,2019-04-02 16:00:00,0.095
CNOR,PV_PP_ex,2019-04-02 17:00:00,0.035
CNOR,PV_PP_ex,2019-04-02 18:00:00,0.0
CNOR,PV_PP_ex,2019-04-02 19:00:00,0.0
CNOR,PV_PP_ex,2019-04-02 20:00:00,0.0
CNOR,PV_PP_ex,2019-04-02 21:00:00,0.0
CNOR,PV_PP_ex,2019-04-02 22:00:00,0.0
CNOR,PV_PP_ex,2019-04-02 23:00:00,0.0
CNOR,PV_PP_ex,2019-04-03 00:00:00,0.0
CNOR,PV_PP_ex,2019-04-03 01:00:00,0.0
CNOR,PV_PP_ex,2019-04-03 02:00:00,0.0
CNOR,PV_PP_ex,2019-04-03 03:00:00,0.0
CNOR,PV_PP_ex,2019-04-03 04:00:00,0.0
CNOR,PV_PP_ex,2019-04-03 05:00:00,0.0
CNOR,PV_PP_ex,2019-04-03 06:00:00,0.013
CNOR,PV_PP_ex,2019-04-03 07:00:00,0.144
CNOR,PV_PP_ex,2019-04-03 08:00:00,0.436
CNOR,PV_PP_ex,2019-04-03 09:00:00,0.612
CNOR,PV_PP_ex,2019-04-03 10:00:00,0.712
CNOR,PV_PP_ex,2019-04-03 11:00:00,0.744
CNOR,PV_PP_ex,2019-04-03 12:00:00,0.587
CNOR,PV_PP_ex,2019-04-03 13:00:00,0.529
CNOR,PV_PP_ex,2019-04-03 14:00:00,0.518
CNOR,PV_PP_ex,2019-04-03 15:00:00,0.394
CNOR,PV_PP_ex,2019-04-03 16:00:00,0.243
CNOR,PV_PP_ex,2019-04-03 17:00:00,0.064
CNOR,PV_PP_ex,2019-04-03 18:00:00,0.0
CNOR,PV_PP_ex,2019-04-03 19:00:00,0.0
CNOR,PV_PP_ex,2019-04-03 20:00:00,0.0
CNOR,PV_PP_ex,2019-04-03 21:00:00,0.0
CNOR,PV_PP_ex,2019-04-03 22:00:00,0.0
CNOR,PV_PP_ex,2019-04-03 23:00:00,0.0
CNOR,PV_roof_ex,2019-04-01 00:00:00,0.0
CNOR,PV_roof_ex,2019-04-01 01:00:00,0.0
CNOR,PV_roof_ex,2019-04-01 02:00:00,0.0
CNOR,PV_roof_ex,2019-04-01 03:00:00,0.0
CNOR,PV_roof_ex,2019-04-01 04:00:00,0.0
CNOR,PV_roof_ex,2019-04-01 05:00:00,0.0
CNOR,PV_roof_ex,2019-04-01 06:00:00,0.046
CNOR,PV_roof_ex,2019-04-01 07:00:00,0.255
CNOR,PV_roof_ex,2019-04-01 08:00:00,0.47
CNOR,PV_roof_ex,2019-04-01 09:00:00,0.63
CNOR,PV_roof_ex,2019-04-01 10:00:00,0.731
CNOR,PV_roof_ex,2019-04-01 11:00:00,0.758
CNOR,PV_roof_ex,2019-04-01 12:00:00,0.732
CNOR,PV_roof_ex,2019-04-01 13:00:00,0.667
CNOR,PV_roof_ex,2019-04-01 14:00:00,0.542
CNOR,PV_roof_ex,2019-04-01 15:00:00,0.363
CNOR,PV_roof_ex,2019-04-01 16:00:00,0.196
CNOR,PV_roof_ex,2019-04-01 17:00:00,0.068
CNOR,PV_roof_ex,2019-04-01 18:00:00,0.001
CNOR,PV_roof_ex,2019-04-01 19:00:00,0.0
CNOR,PV_roof_ex,2019-04-01 20:00:00,0.0
CNOR,PV_roof_ex,2019-04-01 21:00:00,0.0
CNOR,PV_roof_ex,2019-04-01 22:00:00,0.0
CNOR,PV_roof_ex,2019-04-01 23:00:00,0.0
CNOR,PV_roof_ex,2019-04-02 00:00:00,0.0
CNOR,PV_roof_ex,2019-04-02 01:00:00,0.0
CNOR,PV_roof_ex,2019-04-02 02:00:00,0.0
CNOR,PV_roof_ex,2019-04-02 03:00:00,0.0
CNOR,PV_roof_ex,2019-04-02 04:00:00,0.0
CNOR,PV_roof_ex,2019-04-02 05:00:00,0.0
CNOR,PV_roof_ex,2019-04-02 06:00:00,0.023
CNOR,PV_roof_ex,2019-04-02 07:00:00,0.098
CNOR,PV_roof_ex,2019-04-02 08:00:00,0.186
CNOR,PV_roof_ex,2019-04-02 09:00:00,0.263
CNOR,PV_roof_ex,2019-04-02 10:00:00,0.31
CNOR,PV_roof_ex,2019-04-02 11:00:00,0.35
CNOR,PV_roof_ex,2019-04-02 12:00:00,0.351
CNOR,PV_roof_ex,2019-04-02 13:00:00,0.296
CNOR,PV_roof_ex,2019-04-02 14:00:00,0.227
CNOR,PV_roof_ex,2019-04-02 15:00:00,0.16
CNOR,PV_roof_ex,2019-04-02 16:00:00,0.095
CNOR,PV_roof_ex,2019-04-02 17:00:00,0.035
CNOR,PV_roof_ex,2019-04-02 18:00:00,0.0
CNOR,PV_roof_ex,2019-04-02 19:00:00,0.0
CNOR,PV_roof_ex,2019-04-02 20:00:00,0.0
CNOR,PV_roof_ex,2019-04-02 21:00:00,0.0
CNOR,PV_roof_ex,2019-04-02 22:00:00,0.0
CNOR,PV_roof_ex,2019-04-02 23:00:00,0.0
CNOR,PV_roof_ex,2019-04-03 00:00:00,0.0
CNOR,PV_roof_ex,2019-04-03 01:00:00,0.0
CNOR,PV_roof_ex,2019-04-03 02:00:00,0.0
CNOR,PV_roof_ex,2019-04-03 03:00:00,0.0
CNOR,PV_roof_ex,2019-04-03 04:00:00,0.0
CNOR,PV_roof_ex,2019-04-03 05:00:00,0.0
CNOR,PV_roof_ex,2019-04-03 06:00:00,0.013
CNOR,PV_roof_ex,2019-04-03 07:00:00,0.144
CNOR,PV_roof_ex,2019-04-03 08:00:00,0.436
CNOR,PV_roof_ex,2019-04-03 09:00:00,0.612
CNOR,PV_roof_ex,2019-04-03 10:00:00,0.712
CNOR,PV_roof_ex,2019-04-03 11:00:00,0.744
CNOR,PV_roof_ex,2019-04-03 12:00:00,0.587
CNOR,PV_roof_ex,2019-04-03 13:00:00,0.529
CNOR,PV_roof_ex,2019-04-03 14:00:00,0.518
CNOR,PV_roof_ex,2019-04-03 15:00:00,0.394
CNOR,PV_roof_ex,2019-04-03 16:00:00,0.243
CNOR,PV_roof_ex,2019-04-03 17:00:00,0.064
CNOR,PV_roof_ex,2019-04-03 18:00:00,0.0
CNOR,PV_roof_ex,2019-04-03 19:00:00,0.0
CNOR,PV_roof_ex,2019-04-03 20:00:00,0.0
CNOR,PV_roof_ex,2019-04-03 21:00:00,0.0
CNOR,PV_roof_ex,2019-04-03 22:00:00,0.0
CNOR,PV_roof_ex,2019-04-03 23:00:00,0.0
CNOR,Wind_PP_ex,2019-04-01 00:00:00,0.058
CNOR,Wind_PP_ex,2019-04-01 01:00:00,0.05
CNOR,Wind_PP_ex,2019-04-01 02:00:00,0.041
CNOR,Wind_PP_ex,2019-04-01 03:00:00,0.036
CNOR,Wind_PP_ex,2019-04-01 04:00:00,0.035
