locs,techs,timesteps,resource_con
CNOR,Wind_PP_ex,2019-04-01 19:00:00,5976.0
CNOR,Wind_PP_ex,2019-04-01 20:00:00,6308.0
CNOR,Wind_PP_ex,2019-04-01 21:00:00,6640.0
CNOR,Wind_PP_ex,2019-04-01 22:00:00,6142.0
CNOR,Wind_PP_ex,2019-04-01 23:00:00,5644.0
CNOR,Wind_PP_ex,2019-04-02 00:00:00,4980.0
CNOR,Wind_PP_ex,2019-04-02 01:00:00,3984.0
CNOR,Wind_PP_ex,2019-04-02 02:00:00,2988.0
CNOR,Wind_PP_ex,2019-04-02 03:00:00,1992.0
CNOR,Wind_PP_ex,2019-04-02 04:00:00,1328.0
CNOR,Wind_PP_ex,2019-04-02 05:00:00,1328.0
CNOR,Wind_PP_ex,2019-04-02 06:00:00,1660.0
CNOR,Wind_PP_ex,2019-04-02 07:00:00,1992.0
CNOR,Wind_PP_ex,2019-04-02 08:00:00,1328.0
CNOR,Wind_PP_ex,2019-04-02 09:00:00,1328.0
CNOR,Wind_PP_ex,2019-04-02 10:00:00,2490.0
CNOR,Wind_PP_ex,2019-04-02 11:00:00,4648.0
CNOR,Wind_PP_ex,2019-04-02 12:00:00,7137.999999999999
CNOR,Wind_PP_ex,2019-04-02 13:00:00,9794.0
CNOR,Wind_PP_ex,2019-04-02 14:00:00,12450.0
CNOR,Wind_PP_ex,2019-04-02 15:00:00,13944.0
CNOR,Wind_PP_ex,2019-04-02 16:00:00,13778.0
CNOR,Wind_PP_ex,2019-04-02 17:00:00,11288.0
CNOR,Wind_PP_ex,2019-04-02 18:00:00,8466.0
CNOR,Wind_PP_ex,2019-04-02 19:00:00,5644.0
CNOR,Wind_PP_ex,2019-04-02 20:00:00,4316.0
CNOR,Wind_PP_ex,2019-04-02 21:00:00,4316.0
CNOR,Wind_PP_ex,2019-04-02 22:00:00,6142.0
CNOR,Wind_PP_ex,2019-04-02 23:00:00,9628.0
CNOR,Wind_PP_ex,2019-04-03 00:00:00,12782.0
CNOR,Wind_PP_ex,2019-04-03 01:00:00,15604.0
CNOR,Wind_PP_ex,2019-04-03 02:00:00,17596.0
CNOR,Wind_PP_ex,2019-04-03 03:00:00,17098.0
CNOR,Wind_PP_ex,2019-04-03 04:00:00,18758.0
CNOR,Wind_PP_ex,2019-04-03 05:00:00,18592.0
CNOR,Wind_PP_ex,2019-04-03 06:00:00,18260.0
CNOR,Wind_PP_ex,2019-04-03 07:00:00,18592.0
CNOR,Wind_PP_ex,2019-04-03 08:00:00,25066.0
CNOR,Wind_PP_ex,2019-04-03 09:00:00,26892.0
CNOR,Wind_PP_ex,2019-04-03 10:00:00,29880.0
CNOR,Wind_PP_ex,2019-04-03 11:00:00,35358.0
CNOR,Wind_PP_ex,2019-04-03 12:00:00,40338.0
CNOR,Wind_PP_ex,2019-04-03 13:00:00,43824.0
CNOR,Wind_PP_ex,2019-04-03 14:00:00,44488.0
CNOR,Wind_PP_ex,2019-04-03 15:00:00,41998.0
CNOR,Wind_PP_ex,2019-04-03 16:00:00,34528.0
CNOR,Wind_PP_ex,2019-04-03 17:00:00,23571.999999999996
CNOR,Wind_PP_ex,2019-04-03 18:00:00,22078.0
CNOR,Wind_PP_ex,2019-04-03 19:00:00,26560.0
CNOR,Wind_PP_ex,2019-04-03 20:00:00,30212.0
CNOR,Wind_PP_ex,2019-04-03 21:00:00,32868.0
CNOR,Wind_PP_ex,2019-04-03 22:00:00,38346.0
CNOR,Wind_PP_ex,2019-04-03 23:00:00,47143.99999999999
CSUD,Hydrodam_PP_ex,2019-04-01 00:00:00,180502.386198
CSUD,Hydrodam_PP_ex,2019-04-01 01:00:00,180379.106088
CSUD,Hydrodam_PP_ex,2019-04-01 02:00:00,180321.27303900002
CSUD,Hydrodam_PP_ex,2019-04-01 03:00:00,179830.834168
CSUD,Hydrodam_PP_ex,2019-04-01 04:00:00,179776.80136900002
CSUD,Hydrodam_PP_ex,2019-04-01 05:00:00,179654.159701
CSUD,Hydrodam_PP_ex,2019-04-01 06:00:00,179334.392028
CSUD,Hydrodam_PP_ex,2019-04-01 07:00:00,179295.596824
CSUD,Hydrodam_PP_ex,2019-04-01 08:00:00,179241.74249600002
CSUD,Hydrodam_PP_ex,2019-04-01 09:00:00,179201.55443000002
CSUD,Hydrodam_PP_ex,2019-04-01 10:00:00,179841.305405
CSUD,Hydrodam_PP_ex,2019-04-01 11:00:00,205354.310804
CSUD,Hydrodam_PP_ex,2019-04-01 12:00:00,219258.03156600002
CSUD,Hydrodam_PP_ex,2019-04-01 13:00:00,217579.934061
CSUD,Hydrodam_PP_ex,2019-04-01 14:00:00,229930.394123
CSUD,Hydrodam_PP_ex,2019-04-01 15:00:00,186844.58232400002
CSUD,Hydrodam_PP_ex,2019-04-01 16:00:00,181768.149822
CSUD,Hydrodam_PP_ex,2019-04-01 17:00:00,181114.599717
CSUD,Hydrodam_PP_ex,2019-04-01 18:00:00,180266.65809799999
CSUD,Hydrodam_PP_ex,2019-04-01 19:00:00,179701.884085
CSUD,Hydrodam_PP_ex,2019-04-01 20:00:00,179262.771109
CSUD,Hydrodam_PP_ex,2019-04-01 21:00:00,180657.915511
CSUD,Hydrodam_PP_ex,2019-04-01 22:00:00,180497.758901
CSUD,Hydrodam_PP_ex,2019-04-01 23:00:00,182843.84971299997
CSUD,Hydrodam_PP_ex,2019-04-02 00:00:00,183269.95457399997
CSUD,Hydrodam_PP_ex,2019-04-02 01:00:00,179324.71405799998
CSUD,Hydrodam_PP_ex,2019-04-02 02:00:00,178582.77464199997
CSUD,Hydrodam_PP_ex,2019-04-02 03:00:00,178469.75520699998
CSUD,Hydrodam_PP_ex,2019-04-02 04:00:00,177431.35856999998
CSUD,Hydrodam_PP_ex,2019-04-02 05:00:00,177423.35383600002
CSUD,Hydrodam_PP_ex,2019-04-02 06:00:00,245762.745138
CSUD,Hydrodam_PP_ex,2019-04-02 07:00:00,208271.013376
CSUD,Hydrodam_PP_ex,2019-04-02 08:00:00,183691.09940500002
CSUD,Hydrodam_PP_ex,2019-04-02 09:00:00,191135.03980199998
CSUD,Hydrodam_PP_ex,2019-04-02 10:00:00,197459.41416299998
CSUD,Hydrodam_PP_ex,2019-04-02 11:00:00,271809.12716599996
CSUD,Hydrodam_PP_ex,2019-04-02 12:00:00,516341.109827
CSUD,Hydrodam_PP_ex,2019-04-02 13:00:00,374019.90800600004
CSUD,Hydrodam_PP_ex,2019-04-02 14:00:00,229943.67473
CSUD,Hydrodam_PP_ex,2019-04-02 15:00:00,183578.87323700002
CSUD,Hydrodam_PP_ex,2019-04-02 16:00:00,180833.532101
CSUD,Hydrodam_PP_ex,2019-04-02 17:00:00,185767.025096
CSUD,Hydrodam_PP_ex,2019-04-02 18:00:00,263548.32669099997
CSUD,Hydrodam_PP_ex,2019-04-02 19:00:00,310480.103527
